id,Player,height,weight,college,born,birth_city,birth_state
2466,Emeka Okafor,208,114,University of Connecticut,1982,Houston,Texas
2467,Justin Reed,203,108,University of Mississippi,1982,Jackson,Mississippi
2468,Jared Reiner,211,115,University of Iowa,1982,Tripp,South Dakota
2469,Bernard Robinson,198,95,University of Michigan,1980,Washington,District of Columbia
2470,Quinton Ross,198,88,Southern Methodist University,1981,Dallas,Texas
2471,Josh Smith,213,106,University of Southern Colorado,1944,Columbus,Mississippi
2472,Kirk Snyder,198,102,"University of Nevada, Reno",1983,Los Angeles,California
2473,Pape Sow,208,113,"California State University, Fullerton",1981,Dakar,Senegal
2474,Awvee Storey,198,100,Arizona State University,1977,Chicago,Illinois
2475,Yuta Tabuse,175,74,Brigham Young University Hawaii,1980,Yokohama,Japan
2476,Billy Thomas,193,94,University of Kansas,1975,Shreveport,Louisiana
2477,James Thomas,198,97,Providence College,1973,Brooklyn,New York
2478,Jackson Vroman,208,99,Iowa State University,1981,Laguna,California
2479,Delonte West,193,81,Saint Joseph's University,1983,Washington,District of Columbia
2480,Damien Wilkins,208,99,Idaho State University,1960,Pocatello,Idaho
2481,Alex Acker,196,83,Pepperdine University,1983,Compton,California
2482,Alan Anderson,198,99,Michigan State University,1982,Minneapolis,Minnesota
2483,Earl Barron,213,113,University of Memphis,1981,Clarksdale,Mississippi
2484,Eddie Basden,196,97,University of North Carolina at Charlotte,1983,New York,New York
2485,Brandon Bass,203,113,Louisiana State University,1985,Baton Rouge,Louisiana
2486,Andrew Bogut,213,117,University of Utah,1984,Melbourne,Australia
2487,Kevin Burleson,190,92,University of Minnesota,1979,Seattle,Washington
2488,Will Bynum,183,83,Georgia Institute of Technology,1983,Chicago,Illinois
2489,Travis Diener,185,79,Marquette University,1982,Fond du Lac,Wisconsin
2490,Ike Diogu,203,113,Arizona State University,1983,Buffalo,New York
2491,Daniel Ewing,190,83,Duke University,1983,Milton,Florida
2492,Noel Felix,206,102,"California State University, Fresno",1981,Los Angeles,California
2493,Raymond Felton,185,92,University of North Carolina,1984,Marion,South Carolina
2494,Gerald Fitch,190,85,University of Kentucky,1982,Columbus,Georgia
2495,Sharrod Ford,201,95,University of Illinois at Chicago,1972,Baton Rouge,Louisiana
2496,Channing Frye,211,115,University of Arizona,1983,White Plains,New York
2497,Deng Gai,206,113,Fairfield University,1982,Wow,South Sudan
2498,Francisco Garcia,201,88,University of Louisville,1981,Santo Domingo,Dominican Republic
2499,Ryan Gomes,201,113,Providence College,1982,Waterbury,Connecticut
2500,Joey Graham,201,102,Oklahoma State University,1982,Wilmington,Delaware
2501,Stephen Graham,198,97,Oklahoma State University,1982,Wilmington,Delaware
2502,Danny Granger,206,100,University of New Mexico,1983,New Orleans,Louisiana
2503,Devin Green,201,95,Hampton University,1982,Columbus,Ohio
2504,Orien Greene,193,94,University of Louisiana at Lafayette,1982,Gainesville,Florida
2505,Anthony Grundy,190,81,North Carolina State University,1979,Louisville,Kentucky
2506,Chuck Hayes,198,108,University of Kentucky,1983,San Leandro,California
2507,Luther Head,190,83,University of Illinois at Urbana-Champaign,1982,Chicago,Illinois
2508,Julius Hodge,201,95,North Carolina State University,1983,New York,New York
2509,Randy Holcomb,206,102,San Diego State University,1979,Chicago,Illinois
2510,Jarrett Jack,190,90,Georgia Institute of Technology,1983,Fort Washington,Maryland
2511,Sarunas Jasikevicius,193,88,University of Maryland,1976,Kaunas,Lithuania
2512,Dwayne Jones,208,95,University of Houston,1952,Houston,Texas
2513,Linas Kleiza,203,111,University of Missouri,1985,Kaunas,Lithuania
2514,David Lee,201,102,University of San Francisco,1942,Modesto,California
2515,Rawle Marshall,206,86,Oakland University,1982,Georgetown,Guyana
2516,Jason Maxiell,201,117,University of Cincinnati,1983,Chicago,Illinois
2517,Sean May,206,120,University of North Carolina,1984,Chicago,Illinois
2518,Rashad McCants,193,93,University of North Carolina,1984,Asheville,North Carolina
2519,Aaron Miles,185,79,University of Kansas,1983,Portland,Oregon
2520,Andre Owens,193,90,University of Houston,1980,Indianapolis,Indiana
2521,Chris Paul,183,79,Wake Forest University,1985,Winston-Salem,North Carolina
2522,Josh Powell,206,102,North Carolina State University,1983,Charleston,South Carolina
2523,Ronnie Price,188,86,Utah Valley State College,1983,Friendswood,Texas
2524,Shavlik Randolph,208,108,Duke University,1983,Raleigh,North Carolina
2525,Anthony Roberson,196,83,Oral Roberts University,1955,Chattanooga,Tennessee
2526,Lawrence Roberts,206,108,Mississippi State University,1982,Houston,Texas
2527,Nate Robinson,175,81,University of Washington,1984,Seattle,Washington
2528,Melvin Sanders,196,95,Oklahoma State University,1981,Liberal,Kansas
2529,Alex Scales,193,83,University of Oregon,1978,Racine,Wisconsin
2530,Luke Schenscher,216,115,Georgia Institute of Technology,1982,Hope Forest,Australia
2531,Wayne Simien,206,115,University of Kansas,1983,Leavenworth,Kansas
2532,James Singleton,203,97,Murray State University,1981,Chicago,Illinois
2533,Salim Stoudamire,185,81,University of Arizona,1982,Portland,Oregon
2534,Chris Taft,208,117,University of Pittsburgh,1985,Brooklyn,New York
2535,Donell Taylor,198,81,University of Alabama at Birmingham,1982,Washington,District of Columbia
2536,Dijon Thompson,201,88,"University of California, Los Angeles",1983,Los Angeles,California
2537,Ronny Turiaf,208,112,Gonzaga University,1983,Le Robert,Martinique
2538,Charlie Villanueva,211,105,University of Connecticut,1984,Queens,New York
2539,Von Wafer,196,95,Florida State University,1985,Homer,Louisiana
2540,Matt Walsh,198,92,University of Florida,1982,Holland,Pennsylvania
2541,Hakim Warrick,206,99,Syracuse University,1982,Philadelphia,Pennsylvania
2542,Martell Webster,216,102,Morgan State University,1952,Baltimore,Maryland
2543,Robert Whaley,208,117,Walsh University,1982,Benton Harbor,Michigan
2544,Deron Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
2545,Lou Williams,206,90,Stetson University,1969,Ocala,Florida
2546,Marvin Williams,185,89,University of Alabama,1982,Jackson,Mississippi
2547,Antoine Wright,201,95,Texas A&M University,1984,West Covina,California
2548,Bracey Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California
2549,Derrick Zimmerman,190,88,Mississippi State University,1981,Monroe,Louisiana
2550,Hassan Adams,193,99,University of Arizona,1984,Inglewood,California
2551,Maurice Ager,196,91,Michigan State University,1984,Detroit,Michigan
2552,LaMarcus Aldridge,211,117,University of Texas at Austin,1985,Dallas,Texas
2553,Lou Amundson,206,99,"University of Nevada, Las Vegas",1982,Ventura,California
2554,Hilton Armstrong,211,106,University of Connecticut,1984,Peekskill,New York
2555,James Augustine,208,106,University of Illinois at Urbana-Champaign,1984,Midlothian,Illinois
2556,Kelenna Azubuike,196,99,University of Kentucky,1983,London,United Kingdom
2557,Renaldo Balkman,203,94,University of South Carolina,1984,Staten Island,New York
2558,Will Blalock,183,92,Iowa State University,1983,Boston,Massachusetts
2559,Josh Boone,208,107,University of Connecticut,1984,Mount Airy,Maryland
2560,Cedric Bozeman,198,93,"University of California, Los Angeles",1983,Los Angeles,California
2561,Ronnie Brewer,193,81,University of Arkansas,1955,Fort Smith,Arkansas
2562,Andre Brown,206,111,DePaul University,1981,Chicago,Illinois
2563,Shannon Brown,193,92,Michigan State University,1985,Maywood,Illinois
2564,Rodney Carney,201,92,University of Memphis,1984,Memphis,Tennessee
2565,Mardy Collins,198,99,Temple University,1984,Philadelphia,Pennsylvania
2566,Will Conroy,188,88,University of Washington,1982,Portland,Oregon
2567,Paul Davis,211,122,Michigan State University,1984,Detroit,Michigan
2568,Yakhouba Diawara,201,102,Pepperdine University,1982,Paris,France
2569,Quincy Douby,190,79,Rutgers University,1984,Brooklyn,New York
2570,Jordan Farmar,188,81,"University of California, Los Angeles",1986,Los Angeles,California
2571,Desmon Farmer,196,99,University of Southern California,1981,Flint,Michigan
2572,Randy Foye,193,96,Villanova University,1983,Newark,New Jersey
2573,Rudy Gay,203,104,University of Connecticut,1986,Brooklyn,New York
2574,Daniel Gibson,188,86,University of Texas at Austin,1986,Houston,Texas
2575,Lynn Greer,188,79,Temple University,1979,Philadelphia,Pennsylvania
2576,Mike Hall,203,104,George Washington University,1984,Chicago,Illinois
2577,Robert Hite,188,83,University of Miami,1984,Cincinnati,Ohio
2578,Ryan Hollins,213,108,"University of California, Los Angeles",1984,Pasadena,California
2579,Alexander Johnson,206,108,Florida State University,1983,Albany,Georgia
2580,Solomon Jones,208,104,University of South Florida,1984,Eustis,Florida
2581,Tarence Kinsey,198,83,University of South Carolina,1984,Tampa,Florida
2582,Kyle Lowry,183,92,Villanova University,1986,Philadelphia,Pennsylvania
2583,Renaldo Major,201,90,"California State University, Fresno",1982,Chicago,Illinois
2584,Chris McCray,196,87,University of Maryland,1984,Capitol Heights,Maryland
2585,Ivan McFarlin,203,108,Oklahoma State University,1982,Missouri City,Texas
2586,Pops Mensah-Bonsu,206,108,George Washington University,1983,London,United Kingdom
2587,Paul Millsap,203,111,Louisiana Tech University,1985,Monroe,Louisiana
2588,Randolph Morris,208,120,University of Kentucky,1986,Houston,Texas
2589,Adam Morrison,203,92,Gonzaga University,1984,Glendive,Montana
2590,David Noel,198,104,University of North Carolina,1984,Durham,North Carolina
2591,Steve Novak,208,102,Marquette University,1983,Libertyville,Illinois
2592,Patrick O'Bryant,213,117,Bradley University,1986,Oskaloosa,Iowa
2593,Kevinn Pinkney,208,111,"University of Nevada, Reno",1983,Colton,California
2594,Leon Powe,203,108,University of California,1984,Berkeley,California
2595,Roger Powell,198,106,University of Illinois at Urbana-Champaign,1983,Joliet,Illinois
2596,Chris Quinn,188,83,University of Notre Dame,1983,New Orleans,Louisiana
2597,Allan Ray,188,86,Villanova University,1984,Bronx,New York
2598,Jeremy Richardson,198,83,Delta State University,1984,Allentown,Pennsylvania
2599,Rajon Rondo,185,84,University of Kentucky,1986,Louisville,Kentucky
2600,Brandon Roy,198,97,University of Washington,1984,Seattle,Washington
2601,Cedric Simmons,206,106,North Carolina State University,1986,Shallotte,North Carolina
2602,Craig Smith,201,113,Boston College,1983,Inglewood,California
2603,Steven Smith,201,90,Michigan State University,1969,Highland Park,Michigan
2604,Tyrus Thomas,206,97,Louisiana State University,1986,Baton Rouge,Louisiana
2605,James White,206,131,Georgetown University,1976,St. Louis,Missouri
2606,Justin Williams,208,102,University of Wyoming,1984,Chicago,Illinois
2607,Marcus Williams,185,89,University of Alabama,1982,Jackson,Mississippi
2608,Shawne Williams,185,91,University of North Carolina,1975,Bronx,New York
2609,Shelden Williams,185,91,University of North Carolina,1975,Bronx,New York
2610,Arron Afflalo,196,95,"University of California, Los Angeles",1985,Los Angeles,California
2611,Blake Ahearn,188,86,Missouri State University,1984,St. Louis,Missouri
2612,Lance Allred,211,113,Weber State University,1981,Salt Lake City,Utah
2613,Morris Almond,198,102,Rice University,1985,Dalton,Georgia
2614,Joel Anthony,206,111,"University of Nevada, Las Vegas",1982,Montreal,Canada
2615,Corey Brewer,206,84,University of Florida,1986,Portland,Tennessee
2616,Aaron Brooks,183,73,University of Oregon,1985,Seattle,Washington
2617,Wilson Chandler,203,102,DePaul University,1987,Benton Harbor,Michigan
2618,Mike Conley,185,79,Ohio State University,1987,Fayetteville,Arkansas
2619,Daequan Cook,190,83,University of Portland,1958,Los Angeles,California
2620,Javaris Crittenton,196,90,Georgia Institute of Technology,1987,Atlanta,Georgia
2621,Jermareo Davidson,208,104,University of Alabama,1984,Atlanta,Georgia
2622,Glen Davis,206,131,Louisiana State University,1986,Baton Rouge,Louisiana
2623,Guillermo Diaz,188,87,University of Miami,1985,San Juan,Puerto Rico
2624,Jared Dudley,201,102,Boston College,1985,San Diego,California
2625,Kevin Durant,206,108,University of Texas at Austin,1988,Washington,District of Columbia
2626,Nick Fazekas,211,106,"University of Nevada, Reno",1985,Denver,Colorado
2627,Thomas Gardner,196,102,University of Missouri,1985,Portland,Oregon
2628,Aaron Gray,213,122,University of Pittsburgh,1984,Tarzana,California
2629,Taurean Green,183,80,University of Florida,1986,Fort Lauderdale,Florida
2630,Mike Harris,198,108,Rice University,1983,Hillsboro,Texas
2631,Spencer Hawes,216,111,University of Washington,1988,Seattle,Washington
2632,Al Horford,208,111,University of Florida,1986,Puerto Plata,Dominican Republic
2633,Coby Karl,196,97,Boise State University,1983,Great Falls,Montana
2634,Carl Landry,206,112,Purdue University,1983,Milwaukee,Wisconsin
2635,Keith Langford,193,97,University of Kansas,1983,Fort Worth,Texas
2636,Stephane Lasme,203,97,University of Massachusetts Amherst,1982,Port-Gentil,Gabon
2637,Acie Law,190,88,Texas A&M University,1985,Dallas,Texas
2638,Dominic McGuire,206,99,"California State University, Fresno",1985,San Diego,California
2639,Josh McRoberts,208,108,Duke University,1987,Indianapolis,Indiana
2640,Jamario Moon,203,92,Meridian Community College,1980,Goodwater,Alabama
2641,Demetris Nichols,203,97,Syracuse University,1984,Boston,Massachusetts
2642,Joakim Noah,211,104,University of Florida,1985,New York,New York
2643,Kasib Powell,201,97,Texas Tech University,1981,Teaneck,New Jersey
2644,Gabe Pruitt,193,77,University of Southern California,1986,Los Angeles,California
2645,Chris Richard,206,122,University of Florida,1984,Lakeland,Florida
2646,Ramon Sessions,190,86,"University of Nevada, Reno",1986,Myrtle Beach,South Carolina
2647,Courtney Sims,208,111,University of Michigan,1983,Roslindale,Massachusetts
2648,Jason Smith,211,113,Louisiana State University,1977,Atlanta,Georgia
2649,Rodney Stuckey,196,95,Eastern Washington University,1986,Seattle,Washington
2650,Al Thornton,203,99,Florida State University,1983,Perry,Georgia
2651,Alando Tucker,203,86,Oklahoma Baptist University,1943,Dayton,Ohio
2652,Darius Washington,188,88,University of Memphis,1985,Winter Park,Florida
2653,Darryl Watkins,211,117,Syracuse University,1984,Paterson,New Jersey
2654,Mario West,208,104,Old Dominion University,1960,Petersburg,Virginia
2655,Sean Williams,208,106,Boston College,1986,Houston,Texas
2656,Brandan Wright,211,102,"University of California, Los Angeles",1962,Hollywood,California
2657,Julian Wright,203,102,University of Kansas,1987,Chicago,Illinois
2658,Nick Young,201,95,University of Southern California,1985,Los Angeles,California
2659,Thaddeus Young,203,100,Georgia Institute of Technology,1988,New Orleans,Louisiana
2660,Joe Alexander,203,104,West Virginia University,1986,Kaohsiung,Taiwan
2661,Ryan Anderson,208,108,University of California,1988,Sacramento,California
2662,Darrell Arthur,206,106,University of Kansas,1988,Dallas,Texas
2663,Jerryd Bayless,190,90,University of Arizona,1988,Phoenix,Arizona
2664,Michael Beasley,206,106,Kansas State University,1989,Frederick,Maryland
2665,Bobby Brown,193,92,Miami University,1923,Versailles,Ohio
2666,Mario Chalmers,188,86,University of Kansas,1986,Anchorage,Alaska
2667,Joe Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
2668,Joey Dorsey,203,121,University of Memphis,1983,Baltimore,Maryland
2669,Chris Douglas-Roberts,201,90,University of Memphis,1987,Detroit,Michigan
2670,Eric Gordon,193,97,Indiana University,1988,Indianapolis,Indiana
2671,Donte Greene,211,102,Syracuse University,1988,Munich,Germany
2672,Malik Hairston,198,99,University of Oregon,1987,Detroit,Michigan
2673,Roy Hibbert,218,122,Georgetown University,1986,Queens,New York
2674,George Hill,190,85,Indiana University-Purdue University Indianapolis,1986,Indianapolis,Indiana
2675,Steven Hill,213,112,University of Arkansas,1985,Chanute,Kansas
2676,Othello Hunter,203,102,Ohio State University,1986,Winston-Salem,North Carolina
2677,Darnell Jackson,206,114,University of Kansas,1985,Oklahoma City,Oklahoma
2678,Nathan Jawai,208,127,Midland College,1986,Sydney,Australia
2679,Dontell Jefferson,196,88,University of Arkansas,1983,Lithonia,Georgia
2680,Trey Johnson,196,98,Jackson State University,1984,Jackson,Mississippi
2681,DeAndre Jordan,211,120,Texas A&M University,1988,Houston,Texas
2682,Kosta Koufos,213,120,Ohio State University,1989,Canton,Ohio
2683,Rob Kurz,206,105,University of Notre Dame,1985,Philadelphia,Pennsylvania
2684,Courtney Lee,196,90,Western Kentucky University,1985,Indianapolis,Indiana
2685,Brook Lopez,213,124,Stanford University,1988,North Hollywood,California
2686,Robin Lopez,213,115,Stanford University,1988,North Hollywood,California
2687,Kevin Love,208,113,"University of California, Los Angeles",1988,Santa Monica,California
2688,Cartier Martin,201,99,Kansas State University,1984,Crockett,Texas
2689,JaVale McGee,213,122,"University of Nevada, Reno",1988,Flint,Michigan
2690,Anthony Morrow,196,95,Georgia Institute of Technology,1985,Charlotte,North Carolina
2691,DeMarcus Nelson,193,90,Duke University,1985,Oakland,California
2692,Greg Oden,213,113,Ohio State University,1988,Buffalo,New York
2693,Anthony Randolph,208,92,Louisiana State University,1989,Worzbach,Germany
2694,Derrick Rose,190,86,University of Memphis,1988,Chicago,Illinois
2695,Brandon Rush,198,99,University of Kansas,1985,Kansas City,Missouri
2696,Walter Sharpe,206,111,University of Alabama at Birmingham,1986,Huntsville,Alabama
2697,Sean Singletary,183,83,University of Virginia,1985,Philadelphia,Pennsylvania
2698,Marreese Speights,208,115,University of Florida,1987,St. Petersburg,Florida
2699,Mike Taylor,188,74,Iowa State University,1986,Chicago,Illinois
2700,Jason Thompson,185,83,University of South Carolina,1946,New York,New York
2701,Anthony Tolliver,203,108,Creighton University,1985,Springfield,Missouri
2702,Kyle Weaver,198,91,Washington State University,1986,Janesville,Wisconsin
2703,Sonny Weems,198,92,University of Arkansas,1986,West Memphis,Arkansas
2704,Russell Westbrook,190,90,"University of California, Los Angeles",1988,Long Beach,California
2705,Jawad Williams,206,108,St. John's University,1968,Ritter,South Carolina
2706,David Andersen,208,104,Augsburg College,1943,Minneapolis,Minnesota
2707,Antonio Anderson,188,83,Canisius College,1945,Buffalo,New York
2708,DeJuan Blair,201,122,University of Pittsburgh,1989,Pittsburgh,Pennsylvania
2709,Jon Brockman,201,115,University of Washington,1987,Snohomish,Washington
2710,Derrick Brown,185,72,Jacksonville University,1968,Jacksonville,Florida
2711,Chase Budinger,201,94,University of Arizona,1988,Encinitas,California
2712,DeMarre Carroll,203,97,University of Missouri,1986,Birmingham,Alabama
2713,Earl Clark,208,102,University of Louisville,1988,Plainfield,New Jersey
2714,Darren Collison,183,79,"University of California, Los Angeles",1987,Rancho Cucamonga,California
2715,Dante Cunningham,203,104,Villanova University,1987,Clinton,Maryland
2716,JamesOn Curry,190,86,Oklahoma State University,1986,Pleasant Grove,North Carolina
2717,Stephen Curry,190,86,Davidson College,1988,Akron,Ohio
2718,Austin Daye,211,99,Gonzaga University,1988,Irvine,California
2719,DeMar DeRozan,201,100,University of Southern California,1989,Compton,California
2720,Toney Douglas,188,88,Florida State University,1986,Jonesboro,Georgia
2721,Wayne Ellington,193,90,University of North Carolina,1987,Wynnewood,Pennsylvania
2722,Tyreke Evans,198,99,University of Memphis,1989,Chester,Pennsylvania
2723,Jonny Flynn,183,83,Syracuse University,1989,Niagara Falls,New York
2724,Sundiata Gaines,185,83,University of Georgia,1986,Jamaica,New York
2725,Alonzo Gee,198,102,University of Alabama,1987,Riviera Beach,Florida
2726,Taj Gibson,206,102,University of Southern California,1985,Brooklyn,New York
2727,Trey Gilder,206,83,Northwestern State University,1985,Dallas,Texas
2728,Danny Green,206,100,"University of California, Los Angeles",1957,Lynwood,California
2729,Taylor Griffin,201,107,University of Oklahoma,1986,Oklahoma City,Oklahoma
2730,Tyler Hansbrough,206,113,University of North Carolina,1985,Poplar Bluff,Missouri
2731,James Harden,196,99,Arizona State University,1989,Los Angeles,California
2732,Jordan Hill,208,106,University of Arizona,1987,Atlanta,Georgia
2733,Jrue Holiday,193,92,"University of California, Los Angeles",1990,Chatsworth,California
2734,Lester Hudson,190,86,University of Tennessee at Martin,1984,Memphis,Tennessee
2735,Chris Hunter,211,108,University of Michigan,1984,Gary,Indiana
2736,Cedric Jackson,190,86,Cleveland State University,1986,Alamogordo,New Mexico
2737,Othyus Jeffers,196,90,Robert Morris University (IL),1985,Chicago,Illinois
2738,James Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
2739,Oliver Lafayette,188,86,University of Houston,1984,Baton Rouge,Louisiana
2740,Marcus Landry,201,104,University of Wisconsin,1985,Milwaukee,Wisconsin
2741,Ty Lawson,180,88,University of North Carolina,1987,Clinton,Maryland
2742,Wesley Matthews,185,77,University of Wisconsin,1959,Sarasota,Florida
2743,Eric Maynor,190,79,Virginia Commonwealth University,1987,Raeford,North Carolina
2744,Jodie Meeks,193,95,University of Kentucky,1987,Norcross,Georgia
2745,Patty Mills,203,111,Louisiana Tech University,1985,Monroe,Louisiana
2746,Byron Mullens,213,124,Ohio State University,1989,Canal Winchester,Ohio
2747,DaJuan Summers,203,104,Georgetown University,1988,Baltimore,Maryland
2748,Jermaine Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
2749,Jeff Teague,188,84,Wake Forest University,1988,Indianapolis,Indiana
2750,Garrett Temple,198,88,Louisiana State University,1986,Baton Rouge,Louisiana
2751,Hasheem Thabeet,221,119,University of Connecticut,1987,Dar es Salaam,United Republic of Tanzania
2752,Marcus Thornton,193,92,Louisiana State University,1987,Baton Rouge,Louisiana
2753,Terrence Williams,198,99,University of Louisville,1987,Seattle,Washington
2754,Sam Young,198,99,University of Pittsburgh,1985,Washington,District of Columbia
2755,Jeff Adrien,201,111,University of Connecticut,1986,Brookline,Massachusetts
2756,Solomon Alabi,216,113,Florida State University,1988,Kaduna,Nigeria
2757,Cole Aldrich,211,113,University of Kansas,1988,Burnsville,Minnesota
2758,Al-Farouq Aminu,206,99,Wake Forest University,1990,Atlanta,Georgia
2759,James Anderson,198,96,Oklahoma State University,1989,El Dorado,Arkansas
2760,Luke Babbitt,206,102,"University of Nevada, Reno",1989,Cincinnati,Ohio
2761,Eric Bledsoe,185,86,University of Kentucky,1989,Birmingham,Alabama
2762,Trevor Booker,203,103,Clemson University,1987,Newberry,South Carolina
2763,Craig Brackins,208,104,Iowa State University,1987,Los Angeles,California
2764,Avery Bradley,188,81,University of Texas at Austin,1990,Tacoma,Washington
2765,Derrick Caracter,206,124,University of Texas at El Paso,1988,Fanwood,New Jersey
2766,Sherron Collins,180,92,University of Kansas,1987,Chicago,Illinois
2767,Marcus Cousin,211,111,University of Houston,1986,Baltimore,Maryland
2768,DeMarcus Cousins,211,122,University of Kentucky,1990,Mobile,Alabama
2769,Jordan Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
2770,Ed Davis,208,108,University of North Carolina,1989,Washington,District of Columbia
2771,Zabian Dowdell,190,86,Virginia Polytechnic Institute and State University,1984,Pahokee,Florida
2772,Devin Ebanks,206,97,West Virginia University,1989,Queens,New York
2773,Jeremy Evans,206,90,Western Kentucky University,1987,Crossett,Arkansas
2774,Patrick Ewing,213,108,Georgetown University,1962,Kingston,Jamaica
2775,Derrick Favors,208,120,Georgia Institute of Technology,1991,Atlanta,Georgia
2776,Landry Fields,201,95,Stanford University,1988,Long Beach,California
2777,Gary Forbes,201,99,University of Massachusetts Amherst,1985,Colon,Panama
2778,Paul George,206,99,"California State University, Fresno",1990,Palmdale,California
2779,Blake Griffin,208,113,University of Oklahoma,1989,Oklahoma City,Oklahoma
2780,Luke Harangody,203,111,University of Notre Dame,1988,Decatur,Illinois
2781,Manny Harris,196,83,University of Michigan,1989,Detroit,Michigan
2782,Gordon Hayward,203,102,Butler University,1990,Indianapolis,Indiana
2783,Lazar Hayward,198,102,Marquette University,1986,Buffalo,New York
2784,Xavier Henry,198,99,University of Kansas,1991,Gent,Belgium
2785,Damion James,201,102,University of Texas at Austin,1987,Hobbs,New Mexico
2786,Eugene Jeter,180,79,University of Portland,1983,Los Angeles,California
2787,Armon Johnson,196,107,Bemidji State University,1920,Gonvick,Minnesota
2788,Chris Johnson,183,77,University of California,1949,Corpus Christi,Texas
2789,Wesley Johnson,201,97,Syracuse University,1987,Corsicana,Texas
2790,Dominique Jones,203,99,Mississippi State University,1975,Nashville,Tennessee
2791,Gani Lawal,206,106,Georgia Institute of Technology,1988,College Park,Georgia
2792,Jeremy Lin,190,90,Harvard University,1988,Palo Alto,California
2793,Greg Monroe,211,120,Georgetown University,1990,New Orleans,Louisiana
2794,Hamady N'Diaye,213,106,Rutgers University,1987,Dakar,Senegal
2795,Gary Neal,193,95,Towson University,1984,Baltimore,Maryland
2796,Larry Owens,201,95,Oral Roberts University,1983,Mesa,Arizona
2797,Patrick Patterson,206,104,University of Kentucky,1989,Washington,District of Columbia
2798,Dexter Pittman,211,139,University of Texas at Austin,1988,Rosenberg,Texas
2799,Quincy Pondexter,201,99,University of Washington,1988,Fresno,California
2800,Andy Rautins,193,86,Syracuse University,1986,Syracuse,New York
2801,Samardo Samuels,206,117,University of Louisville,1989,Trelawny,Jamaica
2802,Larry Sanders,211,106,Virginia Commonwealth University,1988,Fort Pierce,Florida
2803,Mustafa Shakur,190,86,University of Arizona,1984,Philadelphia,Pennsylvania
2804,Garret Siler,211,138,Augusta State University,1986,Augusta,Georgia
2805,Ish Smith,183,79,Wake Forest University,1988,Charlotte,North Carolina
2806,Lance Stephenson,196,104,University of Cincinnati,1990,Brooklyn,New York
2807,Evan Turner,201,99,Ohio State University,1988,Chicago,Illinois
2808,Ekpe Udoh,208,108,Baylor University,1987,Edmond,Oklahoma
2809,Ben Uzoh,190,92,University of Tulsa,1988,Houston,Texas
2810,Greivis Vasquez,198,98,University of Maryland,1987,Caracas,Venezuela
2811,John Wall,193,88,University of Kentucky,1990,Raleigh,North Carolina
2812,Willie Warren,193,92,University of Oklahoma,1989,Dallas,Texas
2813,Hassan Whiteside,213,120,Marshall University,1989,Gastonia,North Carolina
2814,Lavoy Allen,206,117,Temple University,1989,Morrisville,Pennsylvania
2815,Keith Benson,208,106,Indiana University,1954,New Castle,Indiana
2816,MarShon Brooks,196,90,Providence College,1989,Long Branch,New Jersey
2817,Alec Burks,198,97,University of Colorado,1991,Grandview,Missouri
2818,Jimmy Butler,201,99,Marquette University,1989,Houston,Texas
2819,Derrick Byars,201,99,Vanderbilt University,1984,Memphis,Tennessee
2820,Norris Cole,188,79,Cleveland State University,1988,Dayton,Ohio
2821,Eric Dawson,206,113,Midwestern State University,1984,San Antonio,Texas
2822,Justin Dentmon,180,83,University of Washington,1985,Carbondale,Illinois
2823,Jerome Dyson,190,81,University of Connecticut,1987,Rockville,Maryland
2824,Kenneth Faried,203,103,Morehead State University,1989,Newark,New Jersey
2825,Jeff Foote,213,120,Cornell University,1987,Lockwood,New York
2826,Courtney Fortson,180,83,University of Arkansas,1988,San Antonio,Texas
2827,Jimmer Fredette,188,88,Brigham Young University,1989,Glens Falls,New York
2828,Mickell Gladness,211,99,Alabama A&M University,1986,Birmingham,Alabama
2829,Andrew Goudelock,190,90,College of Charleston,1988,Gainesville,Georgia
2830,Jordan Hamilton,178,72,University of North Texas,1948,Lexington,Kentucky
2831,Justin Harper,208,102,University of Richmond,1989,Richmond,Virginia
2832,Josh Harrellson,208,124,University of Kentucky,1989,St. Charles,Missouri
2833,Terrel Harris,196,86,Oklahoma State University,1987,Dallas,Texas
2834,Tobias Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
2835,Cory Higgins,196,81,University of Colorado,1989,Danville,California
2836,Darington Hobson,201,95,University of New Mexico,1987,Las Vegas,Nevada
2837,Tyler Honeycutt,203,85,"University of California, Los Angeles",1990,Los Angeles,California
2838,Dennis Horner,206,104,North Carolina State University,1988,Linwood,New Jersey
2839,Kyrie Irving,190,87,Duke University,1992,Melbourne,Australia
2840,Reggie Jackson,190,94,Boston College,1990,Pordenone,Italy
2841,Charles Jenkins,190,99,Hofstra University,1989,Brooklyn,New York
2842,Carldell Johnson,178,81,University of Alabama at Birmingham,1983,New Orleans,Louisiana
2843,Ivan Johnson,203,104,University of Oregon,1984,San Antonio,Texas
2844,JaJuan Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
